time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup,semf
1578277,0,25290396,2101,trajectory.oldenburg_standard,500,12,34189,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,17,Infinity,2100318,2187164622,0.0,0.0,0.0,
2012094,0,25794076,2232,trajectory.oldenburg_standard,500,12,86873,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,16,Infinity,2480559,2754274588,0.0,0.0,0.0,
273787,0,11921382,1512,trajectory.oldenburg_standard,500,12,3901,1000000,1,500000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,512341,414189548,0.0,0.0,0.0,
43719,0,5608990,1161,trajectory.oldenburg_standard,500,12,70,1000000,1,250000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,90089,57081089,0.0,0.0,0.0,
13066068,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,1,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
4576011,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,3,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
2598572,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,6,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
1842105,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,2g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
1888377,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,4g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
1672009,0,24372576,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,6g,AbsoluteScale,6,Infinity,19,Infinity,2569779,2355259614,0.0,0.0,0.0,
15832,0,988532,89,trajectory.oldenburg_standard,500,12,42,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,Infinity,15973,461055,0.0,0.0,0.0,
11726,7606,988532,89,trajectory.oldenburg_standard,500,12,12,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,5.0,15943,460940,0.0,0.0,0.0,
21362,0,231174,3228,trajectory.oldenburg_standard_2000_distinct,10,35,14,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,62085,114954120,0.0,0.0,0.0,
24017,0,236902,3302,trajectory.oldenburg_standard_2000_distinct,10,34,24,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,64948,123199668,0.0,0.0,0.0,
27387,0,240694,3321,trajectory.oldenburg_standard_2000_distinct,10,32,51,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,66918,127540720,0.0,0.0,0.0,
30032,0,243336,3338,trajectory.oldenburg_standard_2000_distinct,10,31,73,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,67836,130226412,0.0,0.0,0.0,
29123,0,245028,3350,trajectory.oldenburg_standard_2000_distinct,10,30,112,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,68624,131866138,0.0,0.0,0.0,
28957,0,247864,3371,trajectory.oldenburg_standard_2000_distinct,10,29,153,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,69927,134582334,0.0,0.0,0.0,
35916,0,250960,3412,trajectory.oldenburg_standard_2000_distinct,10,28,226,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71105,139558106,0.0,0.0,0.0,
36559,0,252668,3422,trajectory.oldenburg_standard_2000_distinct,10,27,310,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71819,141461653,0.0,0.0,0.0,
40130,0,254910,3446,trajectory.oldenburg_standard_2000_distinct,10,26,409,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,72970,144955873,0.0,0.0,0.0,
33926,0,258334,3503,trajectory.oldenburg_standard_2000_distinct,10,25,558,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,73468,149783629,0.0,0.0,0.0,
34795,0,259306,3510,trajectory.oldenburg_standard_2000_distinct,10,24,753,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,73749,150939512,0.0,0.0,0.0,
33063,0,260324,3514,trajectory.oldenburg_standard_2000_distinct,10,23,1018,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,74411,152597309,0.0,0.0,0.0,
36441,0,261676,3520,trajectory.oldenburg_standard_2000_distinct,10,22,1360,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,75120,154720971,0.0,0.0,0.0,
36715,0,263916,3552,trajectory.oldenburg_standard_2000_distinct,10,21,1766,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,75692,157644739,0.0,0.0,0.0,
