time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns
736787,0,5576056,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,3,2,8g,DailyScale,4,Infinity,16,Infinity,16324201
405672,0,5576056,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,6,2,8g,DailyScale,4,Infinity,16,Infinity,16324201
279497,0,5576056,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,10,2,2g,DailyScale,4,Infinity,16,Infinity,16425096
300736,0,5576056,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,10,2,4g,DailyScale,4,Infinity,16,Infinity,16324201
282703,0,5576058,360,trajectory.milan_standard,100,12,6800,1000000,1,1000000,10,2,6g,DailyScale,4,Infinity,16,Infinity,16324201
5871,0,910882,333,trajectory.milan_standard,100,12,0,1000000,1,30000,10,2,8g,DailyScale,4,Infinity,16,Infinity,123565
4810,0,83364,163,trajectory.milan_standard,100,12,0,1000000,1,3000,10,2,8g,DailyScale,4,Infinity,16,Infinity,675
97252,0,3645780,358,trajectory.milan_standard,100,12,243,1000000,1,150000,10,2,8g,DailyScale,4,Infinity,16,Infinity,5539263
12125,0,1294898,347,trajectory.milan_standard,100,12,0,1000000,1,50000,10,2,8g,DailyScale,4,Infinity,16,Infinity,413244
24741,0,3440250,12379,trajectory.oldenburg_standard,100,12,2089,1000000,1,190000,10,2,8g,DailyScale,4,Infinity,16,Infinity,3512
24263,0,3440418,12379,trajectory.oldenburg_standard,100,12,2089,1000000,1,100000,10,2,8g,DailyScale,4,Infinity,16,Infinity,3512
174117,0,4452698,359,trajectory.milan_standard,100,12,1616,1000000,1,190000,10,2,8g,DailyScale,4,Infinity,16,Infinity,10068923
36045,0,2524802,355,trajectory.milan_standard,100,12,2,1000000,1,100000,10,2,8g,DailyScale,4,Infinity,16,Infinity,2042546
18199,0,3440418,12379,trajectory.oldenburg_standard,100,12,2089,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,3512
21447,0,3440418,12379,trajectory.oldenburg_standard,100,12,2089,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,3512
18248,0,3131642,11723,trajectory.oldenburg_standard,100,12,1192,1000000,1,1000000,10,2,8g,AbsoluteScale,5,Infinity,16,Infinity,1262
16674,0,1194468,105,trajectory.oldenburg_standard,1000,12,616,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,34889
21168,0,1282258,132,trajectory.oldenburg_standard,100,12,19501,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,16,Infinity,266967
19669,0,758608,114,trajectory.oldenburg_standard,100,12,7863,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,17,Infinity,165334
15559,0,608460,102,trajectory.oldenburg_standard,100,12,1909,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,18,Infinity,145088
18593,0,509774,83,trajectory.oldenburg_standard,100,12,3085,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,20,Infinity,75386
15502,0,557886,94,trajectory.oldenburg_standard,100,12,1467,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,Infinity,76762
1733857,0,23953526,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
12347,0,551998,89,trajectory.oldenburg_standard,500,12,42,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,Infinity,15973
7226,762,551998,89,trajectory.oldenburg_standard,500,12,0,1000000,1,1000000,10,2,8g,NoScale,1,Infinity,19,1.0,8319
1626659,285960,23953524,1791,trajectory.oldenburg_standard,500,12,0,1000000,1,1000000,10,2,8g,AbsoluteScale,6,1.0,19,Infinity,2471562
1645832,0,23953524,1791,trajectory.oldenburg_standard,500,12,65218,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2569779
1793177,0,23979242,1812,trajectory.oldenburg_standard,480,12,74942,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2782250
1923291,0,24026356,1834,trajectory.oldenburg_standard,460,12,86008,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,3022951
2111481,0,24046102,1852,trajectory.oldenburg_standard,420,12,114429,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,3599034
1815512,0,26028472,1809,trajectory.oldenburg_standard,500,10,234479,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2605249
1870587,0,27702220,1821,trajectory.oldenburg_standard,500,8,703262,1000000,1,1000000,10,2,8g,AbsoluteScale,6,Infinity,19,Infinity,2617138
