dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells
geolife,0.0,5,10,3335,0,1164, 3340,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,10,3334,0,1283, 3292,50,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,10,2984,0,1846, 3768,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,10,2967,0,1637, 3433,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,10,2962,0,1373, 3162,50,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,10,2982,0,1412, 3981,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,605
geolife,0.0,5,10,2965,0,1399, 3526,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,605
geolife,0.0,5,10,2960,0,1460, 3640,50,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,605
geolife,0.0,5,10,3587,43,1904, 5124,50,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,10,6937,61,2325, 6212,50,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,10,5450,61,2546, 5740,50,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,10,5444,61,1965, 5110,50,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,90
geolife,0.0,5,10,13368,206,3213, 4786,100,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,10,53015,2224,5883, 8226,100,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,10,361455,11427,7821, 10734,100,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,10,13453,206,3901, 9211,100,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,10,53198,2224,5320, 16407,100,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,10,347052,11427,8762, 29916,100,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,10,13453,206,2751, 9369,100,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,10,53198,2224,6098, 17774,100,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,10,347051,11427,8555, 24982,100,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,10,13453,206,3938, 10665,100,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,541
geolife,0.0,5,10,53198,2224,5739, 16617,100,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,541
geolife,0.0,5,10,347051,11427,8431, 24691,100,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,541
geolife,0.0,5,10,398,0,1424, 2819,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,10,382,0,787, 2247,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,10,382,0,917, 2498,100,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,10,346,0,845, 2670,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,10,327,0,916, 3067,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,10,327,0,1183, 2929,100,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,10,346,0,721, 2697,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,10,327,0,746, 2519,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,10,327,0,846, 2936,100,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,10,346,0,816, 2462,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,175
geolife,0.0,5,10,327,0,1100, 2850,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,175
geolife,0.0,5,10,327,0,834, 2728,100,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,175
geolife,0.0,5,10,18,0,396, 2335,100,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,10,18,0,396, 2331,100,5.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,10,18,0,383, 2349,100,10.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,10,18,0,400, 2226,100,Infinity,1,true,10000000,9,3,12g,NoTimeScale,Infinity,25
geolife,0.0,5,15,57395,847,12350, 14292,10,2.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,15,67002,868,13144, 16047,10,2.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,15,125985,1435,19362, 21505,10,2.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,15,70051,1201,12750, 25472,10,5.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,15,82424,1246,13370, 26689,10,5.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,15,147887,1989,20578, 34493,10,5.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,15,77444,1825,14151, 28703,10,10.0,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,15,91116,1870,14415, 25415,10,10.0,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,15,158637,2718,23716, 36075,10,10.0,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,15,79322,2012,15571, 28826,10,Infinity,1,true,10000000,9,3,12g,DailyScale,1.0,18397
geolife,0.0,5,15,92962,2059,20055, 32876,10,Infinity,1,true,10000000,9,3,12g,DailyScale,2.0,18397
geolife,0.0,5,15,151543,2916,10384, 27192,10,Infinity,1,true,10000000,9,3,12g,DailyScale,Infinity,18397
geolife,0.0,5,15,53187,2343,9276, 10896,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,15,53178,2343,9934, 11759,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,15,53178,2343,10072, 11794,10,2.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,15,110517,4108,8938, 23549,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,15,110496,4108,10645, 29587,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,15,110496,4108,10052, 29870,10,5.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,15,141496,5352,11871, 25087,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,15,141434,5352,11298, 24209,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,15,141434,5352,12874, 25886,10,10.0,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,15,136714,5652,14037, 28295,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,1.0,8177
geolife,0.0,5,15,136440,5652,15380, 33228,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,2.0,8177
geolife,0.0,5,15,136438,5652,8312, 30023,10,Infinity,1,true,10000000,9,3,12g,WeeklyScale,Infinity,8177
geolife,0.0,5,15,112408,12461,16679, 52576,10,2.0,1,true,10000000,9,3,12g,NoTimeScale,Infinity,1674
