dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells,trajectories,timebucketunit,timebucketsize
final_oldenburg_dataset,0.0,100,10,4846162,912665,150591, 152936,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,162112, 164955,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,151747, 154321,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,904868,258828,40925, 43247,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,2.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,149346, 151896,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,5152531,1095836,165184, 176747,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,Infinity,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,187617, 189975,5000,5.0,1,true,1000000,7,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,148939, 151818,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,125761, 128088,5000,5.0,1,true,1000000,11,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,208761, 211549,5000,5.0,1,true,1000000,9,2,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,153438, 156311,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,124265, 127328,5000,5.0,1,true,1000000,9,4,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,1263509,142614,33777, 35496,5000,1.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1904146,204292,47013, 49072,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,50309, 52747,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
